,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Aleutians West Census Area, AK",Aleutians West Census Area ,2016,Non-core,,,AK,10,"  5,634 ",,0.8%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  89 ,  -   ,  -   ,+400%,,0.0%,  1 ,  18 ,  -   ,  -   ,  704 ,"  12,496 ",  1 ,  18 ,  -   ,  29 ,ModerateBurden,,Substantial,Moderate,3.0%,  58 ,"  1,029 ",  -   ,100%,+3.0%,-40%,  -   ,+1%,0.0%,  96 ,"  1,704 ",  -   ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,034 ",53.9%,"  2,000 ",35.5%,  37 ,19.0%,  20 ,0.4%,  1 ,0.2%,,,,  103 ,52.8%,  20 ,10.3%,"  2,926 ",58.6%,"  1,980 ",39.7%,  260 ,62.1%,  227 ,54.2%,19%,9%,7%,  3.7 ,7%,14%,11%,39%,  0.49 ,  0.26 ,Uncertain
"Fluvanna County, VA",Fluvanna County ,51065,Small metro,"Charlottesville, VA",Metropolitan,VA,3,"  27,270 ",12.5%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  18 ,  1 ,  3.7 ,+400%,,0.0%,  1 ,  4 ,  -   ,  -   ,"  1,920 ","  7,041 ",  19 ,  70 ,  -   ,  16 ,ModerateBurden,,Moderate,Low,1.2%,  471 ,"  1,727 ",  1.0 ,95%,+0.9%,+20%,  -   ,-5%,0.3%,  393 ,"  1,441 ",  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  10,770 ",39.5%,"  8,543 ",31.3%,  80 ,4.0%,  134 ,0.6%,  12 ,0.2%,,,,  457 ,23.0%,  124 ,6.3%,"  10,293 ",47.1%,"  8,419 ",38.5%,"  3,660 ",65.4%,"  3,184 ",56.9%,7%,5%,21%,  2.6 ,15%,4%,0%,1%,  0.06 ,  0.16 ,Uncertain
"Lee County, GA",Lee County ,13177,Small metro,"Albany, GA",Metropolitan,GA,4,"  29,992 ",20.4%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  17 ,  -   ,  -   ,+150%,-100%,0.0%,  2 ,  7 ,  1 ,  3.3 ,"  2,750 ","  9,169 ",  60 ,  200 ,  -   ,  9 ,ModerateBurden,,Moderate,Moderate,3.8%,  165 ,  550 ,  -   ,86%,-2.3%,-10%,  -   ,-7%,6.1%,  183 ,  610 ,  -   ,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,696 ",5.7%,"  1,839 ",6.1%,  40 ,1.4%,  73 ,0.3%,  8 ,0.2%,,,,  126 ,4.4%,  74 ,2.6%,"  1,570 ",7.1%,"  1,765 ",8.0%,  242 ,6.2%,  318 ,8.1%,11%,14%,13%,  2.7 ,23%,3%,0%,3%,  0.35 ,  0.72 ,Uncertain
"Bleckley County, GA",Bleckley County ,13023,Non-core,,,GA,4,"  12,873 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  39 ,  -   ,  -   ,-17%,,0.0%,  6 ,  47 ,  -   ,  -   ,"  1,463 ","  11,365 ",  51 ,  396 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,3.7%,  28 ,  218 ,  -   ,96%,-2.2%,-39%,  -   ,-1%,5.9%,  46 ,  357 ,  -   ,97%,  -   ,  -   ,  -   ,  -   ,63%,0%,,,0%,0%,-100%,-100%,-19%,-1%,,,0%,0%,  1 ,  18 ,  -   ,  2 ,100%,100%,100%,100%,  390 ,3.0%,  312 ,2.4%,  4 ,0.4%,  23 ,0.2%,  3 ,0.1%,,,,  9 ,1.0%,  2 ,0.2%,  381 ,3.7%,  310 ,3.0%,  137 ,6.2%,  118 ,5.3%,10%,21%,17%,  2.7 ,27%,3%,0%,1%,  0.74 ,  0.78 ,Uncertain
"Cheyenne County, KS",Cheyenne County ,20023,Non-core,,,KS,7,"  2,657 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  188 ,  -   ,  -   ,+400%,,0.0%,  1 ,  38 ,  -   ,  -   ,  368 ,"  13,850 ",  14 ,  527 ,  -   ,  -   ,ModerateBurden,,High,High,20.0%,  11 ,  414 ,  1.0 ,100%,+8.9%,+267%,  1.0 ,0%,11.1%,  3 ,  113 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,11%,0%,,,0%,0%,,,-1%,0%,,,0%,0%,  1 ,  16 ,  -   ,  6 ,100%,100%,100%,100%,  972 ,36.6%,  827 ,31.1%,,,  5 ,0.2%,,,,,,  1 ,0.6%,  1 ,0.6%,  971 ,46.2%,  826 ,39.3%,  514 ,70.8%,  463 ,63.8%,7%,9%,27%,  2.2 ,0%,7%,0%,1%,  0.10 ,  0.44 ,Uncertain
"Prairie County, AR",Prairie County ,5117,Non-core,,,AR,6,"  8,062 ",,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  62 ,  -   ,  -   ,+67%,,0.0%,  3 ,  37 ,  -   ,  -   ,  905 ,"  11,226 ",  21 ,  260 ,  -   ,  -   ,ModerateBurden,,High,Moderate,,  7 ,  87 ,  -   ,100%,,-81%,  -   ,0%,0.0%,  37 ,  459 ,  -   ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  2,451 ",30.4%,"  1,856 ",23.0%,  1 ,0.2%,  48 ,0.7%,  17 ,0.9%,,,,  13 ,2.4%,  10 ,1.9%,"  2,437 ",38.0%,"  1,846 ",28.8%,"  1,066 ",55.3%,  850 ,44.1%,8%,16%,24%,  2.1 ,11%,2%,0%,0%,  0.65 ,  0.93 ,Uncertain
"Mariposa County, CA",Mariposa County ,6043,Non-core,,,CA,9,"  17,203 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  23 ,  -   ,  -   ,+100%,,0.0%,  2 ,  12 ,  -   ,  -   ,  454 ,"  2,639 ",  7 ,  41 ,  -   ,  23 ,ModerateBurden,,Moderate,Moderate,,  -   ,  -   ,,,,,,,,  -   ,  -   ,,,  -   ,  -   ,  -   ,  -   ,48%,0%,,,0%,0%,,,-15%,0%,,,0%,0%,  1 ,  10 ,  -   ,  5 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,5%,14%,29%,  2.1 ,1%,12%,3%,2%,  0.53 ,  0.51 ,Uncertain
"Spencer County, IN",Spencer County ,18147,Non-core,,,IN,5,"  20,277 ",,0.3%,0.0%,  -   ,  121 ,0.6%,0.0%,  4 ,  20 ,  -   ,  -   ,-43%,,0.0%,  7 ,  35 ,  -   ,  -   ,"  2,335 ","  11,516 ",  31 ,  153 ,  -   ,  11 ,ModerateBurden,,Substantial,Moderate,8.3%,  75 ,  370 ,  1.0 ,97%,+2.9%,-15%,  -   ,-2%,5.4%,  88 ,  434 ,  1.0 ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  6,954 ",34.3%,"  6,206 ",30.6%,  15 ,0.9%,  59 ,0.4%,  6 ,0.1%,,,,  104 ,6.5%,  36 ,2.3%,"  6,850 ",43.1%,"  6,170 ",38.8%,"  2,793 ",68.9%,"  2,664 ",65.7%,5%,9%,20%,  2.5 ,1%,3%,0%,0%,  0.09 ,  0.38 ,Uncertain
"Custer County, SD",Custer County ,46033,Small metro,,,SD,8,"  8,972 ",,1.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  45 ,  -   ,  -   ,-69%,,0.0%,  13 ,  145 ,  -   ,  -   ,  873 ,"  9,730 ",  12 ,  134 ,  -   ,  2 ,ModerateBurden,,High,High,23.5%,  43 ,  479 ,  -   ,100%,+3.9%,-31%,  -   ,0%,19.7%,  62 ,  691 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,42%,9%,,,,,-100%,,-10%,-4%,,,,,  1 ,  11 ,  -   ,  -   ,100%,100%,100%,100%,"  2,216 ",24.7%,"  2,670 ",29.8%,  12 ,2.2%,  39 ,0.5%,  12 ,0.4%,,,,  37 ,6.8%,  15 ,2.8%,"  2,179 ",28.5%,"  2,655 ",34.7%,  792 ,27.9%,"  1,398 ",49.2%,11%,13%,32%,  2.1 ,1%,4%,3%,1%,  0.23 ,  0.12 ,Uncertain
"Morris County, TX",Morris County ,48343,Non-core,,,TX,6,"  12,388 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  32 ,  -   ,  -   ,+100%,,0.0%,  2 ,  16 ,  -   ,  -   ,  877 ,"  7,079 ",  33 ,  266 ,  -   ,  10 ,ModerateBurden,,High,High,17.9%,  38 ,  307 ,  1.0 ,100%,+5.9%,+111%,  -   ,0%,12.0%,  18 ,  145 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,16%,22%,  2.4 ,22%,11%,1%,1%,  0.73 ,  0.90 ,Uncertain
"Gogebic County, MI",Gogebic County ,26053,Non-core,,,MI,5,"  13,975 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  29 ,  -   ,  -   ,-67%,,0.0%,  12 ,  86 ,  -   ,  -   ,"  1,400 ","  10,018 ",  50 ,  358 ,  -   ,  3 ,ModerateBurden,,Moderate,Substantial,3.1%,  178 ,"  1,274 ",  1.0 ,98%,-3.3%,-22%,  -   ,0%,6.4%,  229 ,"  1,639 ",  1.0 ,98%,  1 ,  3 ,  1 ,  3 ,23%,2%,0%,0%,0%,0%,0%,0%,-4%,0%,0%,0%,0%,0%,  1 ,  32 ,  5 ,  6 ,100%,100%,100%,100%,"  7,198 ",51.5%,"  6,522 ",46.7%,  7 ,0.9%,  95 ,0.8%,  17 ,0.4%,,,,  53 ,6.5%,  34 ,4.2%,"  7,145 ",61.4%,"  6,488 ",55.8%,"  3,333 ",83.4%,"  3,128 ",78.2%,8%,18%,29%,  2.1 ,1%,2%,3%,0%,  0.40 ,  0.40 ,Uncertain
"Roberts County, SD",Roberts County ,46109,Non-core,,,SD,8,"  10,394 ",,1.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  38 ,  -   ,  -   ,-43%,,0.0%,  7 ,  67 ,  -   ,  -   ,"  1,373 ","  13,210 ",  39 ,  375 ,  -   ,  -   ,ModerateBurden,,Moderate,Substantial,3.9%,  107 ,"  1,029 ",  -   ,100%,-2.4%,-36%,  -   ,0%,6.3%,  167 ,"  1,607 ",  -   ,100%,  -   ,  -   ,  -   ,  -   ,45%,0%,,,0%,0%,,-100%,-11%,-2%,,,0%,0%,  1 ,  12 ,  -   ,  1 ,100%,100%,100%,100%,"  3,650 ",35.1%,"  3,867 ",37.2%,  38 ,4.2%,  23 ,0.3%,  4 ,0.2%,,,,  160 ,17.8%,  41 ,4.6%,"  3,490 ",47.5%,"  3,826 ",52.1%,  783 ,38.2%,"  1,269 ",61.8%,19%,19%,20%,  2.6 ,1%,4%,36%,0%,  0.72 ,  0.57 ,Uncertain
"Clay County, SD",Clay County ,46027,Micropolitan,"Vermillion, SD",Micropolitan,SD,8,"  14,070 ",100.0%,1.6%,0.0%,  1 ,"  6,252 ",44.4%,0.0%,  4 ,  28 ,  -   ,  -   ,+300%,,0.0%,  1 ,  7 ,  -   ,  -   ,"  1,926 ","  13,689 ",  15 ,  107 ,  -   ,  25 ,ModerateBurden,,High,Substantial,17.2%,  83 ,  590 ,  -   ,98%,+9.0%,-1%,  -   ,-2%,8.2%,  84 ,  597 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,34%,0%,,,,,-100%,-100%,+11%,-1%,,,,,  1 ,  25 ,  -   ,  -   ,100%,100%,100%,100%,"  6,785 ",48.2%,"  6,553 ",46.6%,  55 ,7.3%,  51 ,0.4%,  4 ,0.2%,,,,  231 ,30.5%,  91 ,12.0%,"  6,554 ",56.4%,"  6,462 ",55.6%,"  1,452 ",81.9%,"  1,767 ",99.7%,8%,25%,13%,  2.2 ,2%,3%,3%,3%,  0.25 ,  0.35 ,Uncertain
"Newton County, TX",Newton County ,48351,Medium metro,,,TX,6,"  13,595 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  29 ,  1 ,  7.4 ,,,0.0%,  -   ,  -   ,  -   ,  -   ,  629 ,"  4,627 ",  36 ,  265 ,  -   ,  23 ,ModerateBurden,,Moderate,Moderate,7.7%,  18 ,  132 ,  -   ,100%,+2.3%,-64%,  -   ,+3%,5.4%,  50 ,  368 ,  -   ,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,21%,21%,  2.8 ,20%,4%,1%,1%,  0.72 ,  0.79 ,Uncertain
"Pendleton County, KY",Pendleton County ,21191,Large fringe metro,"Cincinnati, OH-KY-IN",Metropolitan,KY,4,"  14,590 ",0.7%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  27 ,  -   ,  -   ,-43%,,0.0%,  7 ,  48 ,  -   ,  -   ,"  1,037 ","  7,108 ",  5 ,  34 ,  -   ,  19 ,ModerateBurden,,Moderate,Moderate,0.0%,  146 ,"  1,001 ",  -   ,100%,-3.5%,-12%,  (1.0),+1%,3.5%,  166 ,"  1,138 ",  1.0 ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  4,899 ",33.6%,"  4,222 ",28.9%,  27 ,2.3%,  88 ,0.8%,  8 ,0.3%,,,,  115 ,9.8%,  29 ,2.5%,"  4,784 ",42.5%,"  4,193 ",37.2%,"  1,879 ",78.2%,"  1,758 ",73.2%,5%,18%,16%,  2.7 ,1%,2%,0%,0%,  0.42 ,  0.73 ,Uncertain
"Turner County, GA",Turner County ,13287,Non-core,,,GA,4,"  7,985 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  50 ,  -   ,  -   ,+33%,,0.0%,  3 ,  38 ,  -   ,  -   ,"  1,030 ","  12,899 ",  39 ,  488 ,  -   ,  13 ,ModerateBurden,,High,Moderate,17.9%,  32 ,  401 ,  -   ,100%,+14.6%,-14%,  -   ,0%,3.2%,  37 ,  463 ,  -   ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,  751 ,9.4%,  611 ,7.7%,  3 ,0.5%,  34 ,0.6%,  2 ,0.1%,,,,  6 ,0.9%,  2 ,0.3%,  745 ,12.4%,  609 ,10.1%,  371 ,23.2%,  328 ,20.6%,15%,35%,20%,  2.5 ,39%,5%,0%,1%,  0.98 ,  1.00 ,Uncertain
"Scott County, AR",Scott County ,5127,Non-core,,,AR,6,"  10,281 ",,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  39 ,  -   ,  -   ,+300%,,0.0%,  1 ,  10 ,  -   ,  -   ,  943 ,"  9,172 ",  14 ,  136 ,  -   ,  11 ,ModerateBurden,,Moderate,Moderate,,  5 ,  49 ,  -   ,100%,,-96%,  -   ,+3%,3.1%,  124 ,"  1,206 ",  -   ,97%,  -   ,  -   ,  -   ,  -   ,21%,0%,,,0%,0%,,,+3%,0%,,,0%,0%,  1 ,  17 ,  -   ,  1 ,100%,100%,100%,100%,"  2,671 ",26.0%,"  2,228 ",21.7%,,,  49 ,0.6%,  10 ,0.5%,,,,  26 ,3.1%,  13 ,1.6%,"  2,645 ",33.4%,"  2,215 ",28.0%,"  1,147 ",52.0%,"  1,000 ",45.4%,9%,22%,21%,  2.7 ,1%,8%,2%,3%,  0.89 ,  0.84 ,Uncertain
"Edgefield County, SC",Edgefield County ,45037,Medium metro,"Augusta-Richmond County, GA-SC",Metropolitan,SC,4,"  27,260 ",4.5%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  15 ,  -   ,  -   ,-69%,-100%,0.0%,  13 ,  48 ,  1 ,  3.7 ,"  3,152 ","  11,563 ",  44 ,  161 ,  -   ,  15 ,ModerateBurden,,Moderate,Moderate,1.5%,  259 ,  950 ,  1.0 ,96%,-2.6%,+12%,  -   ,-1%,4.1%,  231 ,  847 ,  1.0 ,97%,  -   ,  -   ,  -   ,  -   ,49%,0%,,,0%,0%,,,+9%,0%,,,0%,0%,  1 ,  25 ,  -   ,  1 ,100%,100%,100%,100%,"  11,526 ",42.3%,"  9,438 ",34.6%,  40 ,2.1%,  191 ,0.9%,  23 ,0.4%,,,,  168 ,8.7%,  71 ,3.7%,"  11,352 ",50.6%,"  9,366 ",41.8%,"  4,092 ",77.2%,"  3,655 ",68.9%,9%,16%,19%,  2.7 ,35%,6%,0%,1%,  0.85 ,  0.86 ,Uncertain
"Gosper County, NE",Gosper County ,31073,Micropolitan,"Lexington, NE",Micropolitan,NE,7,"  1,990 ",7.8%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  201 ,  -   ,  -   ,+300%,,0.0%,  1 ,  50 ,  -   ,  -   ,  187 ,"  9,397 ",  5 ,  251 ,  -   ,  153 ,ModerateBurden,,High,High,7.1%,  6 ,  302 ,  1.0 ,100%,-17.9%,-33%,  -   ,0%,25.0%,  9 ,  452 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,  418 ,21.0%,  551 ,27.7%,  1 ,0.6%,  4 ,0.3%,,,,,,  9 ,5.5%,  6 ,3.6%,  409 ,26.2%,  545 ,34.9%,  149 ,30.6%,  236 ,48.5%,4%,5%,24%,  2.3 ,1%,6%,1%,0%,  0.01 ,  0.02 ,Uncertain
"Audubon County, IA",Audubon County ,19009,Non-core,,,IA,7,"  5,496 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  73 ,  -   ,  -   ,+33%,,0.0%,  3 ,  55 ,  -   ,  -   ,  516 ,"  9,389 ",  10 ,  182 ,  -   ,  -   ,ModerateBurden,,High,Substantial,12.5%,  44 ,  801 ,  -   ,97%,+7.8%,+16%,  -   ,-3%,4.7%,  38 ,  691 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,18%,0%,,,0%,0%,,,+7%,0%,,,0%,0%,  1 ,  17 ,  -   ,  3 ,100%,100%,100%,100%,"  2,691 ",49.0%,"  2,494 ",45.4%,  14 ,3.7%,  18 ,0.4%,  2 ,0.1%,,,,  58 ,15.3%,  6 ,1.6%,"  2,633 ",60.8%,"  2,488 ",57.4%,"  1,224 ",90.1%,"  1,185 ",87.3%,5%,10%,25%,  2.1 ,0%,2%,0%,1%,  0.02 ,  0.11 ,Uncertain
"Calhoun County, SC",Calhoun County ,45017,Medium metro,"Columbia, SC",Metropolitan,SC,4,"  14,553 ",1.7%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  27 ,  -   ,  -   ,-43%,,0.0%,  7 ,  48 ,  -   ,  -   ,"  1,330 ","  9,139 ",  37 ,  254 ,  -   ,  7 ,ModerateBurden,,Moderate,Moderate,6.7%,  97 ,  667 ,  -   ,100%,+4.2%,-3%,  (1.0),0%,2.5%,  100 ,  687 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  4,063 ",27.9%,"  3,331 ",22.9%,  12 ,1.2%,  65 ,0.5%,  4 ,0.1%,,,,  45 ,4.6%,  24 ,2.5%,"  4,015 ",33.9%,"  3,306 ",28.0%,"  1,763 ",50.6%,"  1,525 ",43.8%,12%,18%,24%,  2.4 ,40%,4%,0%,0%,  0.56 ,  0.84 ,Uncertain
"Allamakee County, IA",Allamakee County ,19005,Non-core,,,IA,7,"  13,687 ",,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  29 ,  -   ,  -   ,+33%,,0.0%,  3 ,  22 ,  -   ,  -   ,"  1,521 ","  11,113 ",  51 ,  373 ,  -   ,  7 ,ModerateBurden,,Moderate,Moderate,4.5%,  131 ,  957 ,  -   ,99%,+1.5%,-22%,  -   ,+4%,3.0%,  167 ,"  1,220 ",  -   ,95%,  -   ,  -   ,  -   ,  -   ,37%,0%,,,0%,0%,,,-8%,0%,,,0%,0%,  1 ,  20 ,  -   ,  1 ,100%,100%,100%,100%,"  5,888 ",43.0%,"  5,413 ",39.5%,  6 ,0.6%,  49 ,0.5%,  8 ,0.2%,,,,  52 ,5.0%,  22 ,2.1%,"  5,836 ",55.7%,"  5,391 ",51.5%,"  2,575 ",80.2%,"  2,444 ",76.1%,8%,9%,23%,  2.3 ,2%,7%,0%,0%,  0.32 ,  0.34 ,Uncertain
"Skamania County, WA",Skamania County ,53059,Large fringe metro,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan,WA,10,"  12,083 ",0.5%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  33 ,  -   ,  -   ,-50%,,0.0%,  8 ,  66 ,  -   ,  -   ,  357 ,"  2,955 ",  1 ,  8 ,  -   ,  10 ,ModerateBurden,,Moderate,Substantial,0.0%,  44 ,  364 ,,,-1.9%,-75%,,,1.9%,  173 ,"  1,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,852 ",31.9%,"  3,315 ",27.4%,  31 ,3.9%,  107 ,1.1%,  13 ,0.5%,,,,  112 ,14.0%,  37 ,4.6%,"  3,740 ",37.9%,"  3,278 ",33.2%,"  1,356 ",50.7%,"  1,318 ",49.3%,5%,14%,22%,  2.5 ,1%,7%,2%,1%,  0.22 ,  0.26 ,Uncertain
"Runnels County, TX",Runnels County ,48399,Non-core,,,TX,6,"  10,264 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  39 ,  -   ,  -   ,+300%,-100%,0.0%,  1 ,  10 ,  1 ,  9.7 ,"  1,296 ","  12,627 ",  38 ,  370 ,  -   ,  15 ,ModerateBurden,,Moderate,Substantial,6.7%,  40 ,  390 ,  1.0 ,100%,-1.7%,+29%,  -   ,+3%,8.3%,  31 ,  302 ,  1.0 ,97%,  -   ,  -   ,  -   ,  -   ,34%,0%,,,0%,0%,,,+3%,0%,,,0%,0%,  2 ,  24 ,  -   ,  8 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,16%,14%,21%,  2.7 ,2%,35%,1%,1%,  0.54 ,  0.56 ,Uncertain
"Otoe County, NE",Otoe County ,31131,Non-core,,,NE,7,"  16,012 ",,0.8%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  25 ,  -   ,  -   ,-43%,,0.0%,  7 ,  44 ,  -   ,  -   ,"  1,473 ","  9,199 ",  10 ,  62 ,  -   ,  30 ,ModerateBurden,,Moderate,High,5.8%,  97 ,  606 ,  1.0 ,100%,-6.4%,+2%,  -   ,0%,12.2%,  95 ,  593 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,38%,5%,,,0%,0%,-100%,,+2%,+2%,,,0%,0%,  2 ,  22 ,  -   ,  5 ,100%,100%,100%,100%,"  6,231 ",38.9%,"  5,954 ",37.2%,  93 ,7.0%,  102 ,0.8%,  15 ,0.5%,,,,  188 ,14.2%,  38 ,2.9%,"  6,031 ",49.6%,"  5,916 ",48.6%,"  2,283 ",72.1%,"  2,398 ",75.7%,6%,11%,20%,  2.4 ,1%,9%,0%,1%,  0.23 ,  0.14 ,Uncertain
"Alcona County, MI",Alcona County ,26001,Non-core,,,MI,5,"  10,405 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  38 ,  3 ,  28.8 ,-43%,+200%,0.0%,  7 ,  67 ,  1 ,  9.6 ,  737 ,"  7,083 ",  32 ,  308 ,  -   ,  31 ,ModerateBurden,,Moderate,Substantial,7.1%,  163 ,"  1,567 ",  1.0 ,97%,+2.5%,-11%,  -   ,-1%,4.7%,  183 ,"  1,759 ",  1.0 ,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  4,958 ",47.7%,"  4,669 ",44.9%,  4 ,0.8%,  28 ,0.3%,  5 ,0.1%,,,,  23 ,4.6%,  17 ,3.4%,"  4,935 ",54.3%,"  4,652 ",51.2%,"  2,675 ",71.1%,"  2,644 ",70.3%,6%,16%,36%,  2.0 ,1%,2%,1%,0%,  0.26 ,  0.65 ,Uncertain
"Benzie County, MI",Benzie County ,26019,Micropolitan,"Traverse City, MI",Micropolitan,MI,5,"  17,766 ",11.8%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  23 ,  -   ,  -   ,-56%,,0.0%,  9 ,  51 ,  -   ,  -   ,"  1,271 ","  7,154 ",  34 ,  191 ,  -   ,  28 ,ModerateBurden,,Moderate,Substantial,2.4%,  128 ,  720 ,  -   ,99%,-2.0%,-2%,  -   ,0%,4.3%,  131 ,  737 ,  -   ,99%,  -   ,  -   ,  -   ,  -   ,36%,0%,,,0%,0%,,,+36%,0%,,,0%,0%,  1 ,  4 ,  -   ,  1 ,100%,100%,100%,100%,"  9,666 ",54.4%,"  8,929 ",50.3%,  16 ,1.4%,  169 ,1.2%,  17 ,0.4%,,,,  147 ,12.8%,  108 ,9.4%,"  9,518 ",65.1%,"  8,821 ",60.3%,"  3,838 ",80.2%,"  3,635 ",75.9%,6%,9%,27%,  2.6 ,1%,3%,1%,0%,  0.11 ,  0.44 ,Uncertain
"Langlade County, WI",Langlade County ,55067,Non-core,,,WI,5,"  19,189 ",,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  4 ,  21 ,  -   ,  -   ,-43%,,0.0%,  7 ,  36 ,  -   ,  -   ,"  2,185 ","  11,387 ",  46 ,  240 ,  -   ,  8 ,ModerateBurden,,Moderate,Moderate,0.9%,  225 ,"  1,173 ",  -   ,100%,-3.8%,0%,  (1.0),0%,4.7%,  225 ,"  1,173 ",  1.0 ,100%,  1 ,  3 ,  2 ,  6 ,39%,6%,18%,0%,0%,0%,,-33%,+2%,+2%,-4%,-4%,0%,0%,  1 ,  36 ,  4 ,  3 ,100%,100%,100%,100%,"  8,049 ",41.9%,"  7,137 ",37.2%,  43 ,3.1%,  160 ,1.0%,  26 ,0.5%,,,,  110 ,8.0%,  40 ,2.9%,"  7,939 ",51.4%,"  7,097 ",45.9%,"  3,763 ",79.4%,"  3,623 ",76.5%,7%,14%,25%,  2.2 ,1%,2%,1%,1%,  0.35 ,  0.19 ,Uncertain
